>gene_name	chromosome	promoter_start	promoter_end
LOC101928879;COMMD5	8	146077740	146078201
LSM6	4	147096820	147097285
ADRB2	5	148206018	148206373
OTUD7B	1	149982192	149982480
RBM22	5	150080714	150081127
PSMD4	1	151227462	151227685
MRPL9	1	151735972	151736269
S100A1	1	153599841	153600095
TAZ	X	153639700	153640023
DHX36	3	154041728	154041996
FDPS	1	155278724	155278984
ESYT2	7	158621937	158622300
TTC1	5	159436001	159436430
PPID	4	159644306	159644691
LOC100129518;SOD2	6	160114057	160114349
SMC4	3	160116867	160117126
WTAP	6	160147421	160148022
PEX19	1	160254452	160255002
DUSP12	1	161719474	161720241
UHMK1	1	162467872	162468158
SFT2D2	1	168195220	168195539
LOC100128164	3	169684804	169685006
FBXW11	5	171433932	171434261
LOC101928615;FNDC3B	3	171757642	171757938
GORASP2	2	171785627	171786540
ECT2	3	172468519	172468715
RFWD2	1	176175479	176176177
ZNF346	5	176449485	176449682
HNRNPAB	5	177631139	177631350
ZC3H15	2	187350373	187350973
ZC3H15	2	187351154	187351378
CLDN1	3	190040086	190040328
FBXO45	3	196295399	196295646
NCBP2	3	196668557	196669311
DDX59	1	200638822	200639094
C2orf47	2	200819654	200819988
IPO9-AS1	1	201798533	201798915
ALS2	2	202645470	202645746
RPE	2	210866934	210867269
NSL1	1	212964655	212964901
TTLL4	2	219575754	219576009
LIN9	1	226496889	226497183
JMJD4	1	227922658	227923607
FBXO36	2	230787218	230787453
ARV1	1	231114715	231115056
EXOC8	1	231473484	231473748
ILKAP	2	239111852	239112068
PASK	2	242090120	242090334
AHCTF1	1	247094861	247095342
